x,y
2.5901365,23.323595
2.5906603,23.322685
2.5901215,23.323776
2.5904036,23.322115
2.5904548,23.32258
2.5900965,23.323112
-1.7145431,22.071312
-1.7146034,22.07067
-1.7146368,22.070997
-1.7134354,22.065807
-1.7144208,22.069883
-1.7138361,22.068186
-1.7143984,22.07103
-1.7142218,22.069588
-1.714098,22.069288
-1.7144451,22.070517
-4.5381303,6.7897205
-4.537874,6.788488
-4.536047,6.8060308
-4.5381794,6.7922673
-4.537799,6.7903576
-4.5383425,6.789081
-4.5416737,6.8042107
-4.5410285,6.785692
-4.537985,6.786386
-4.538133,6.793195
9.946553,-5.7909164
9.947585,-5.791864
9.947808,-5.790649
9.947987,-5.7913876
9.947216,-5.7916503
9.918417,-5.816772
9.948452,-5.791621
9.941233,-5.796234
9.940722,-5.7965055
9.940463,-5.796894
19.972357,19.066275
19.9722,19.066507
19.972338,19.0663
19.972448,19.066309
19.971022,19.068575
19.971579,19.067587
19.965286,19.078236
19.971704,19.067482
19.971148,19.06825
19.972067,19.066727
25.890345,5.0737667
25.891233,5.0751905
25.889229,5.072053
25.88684,5.070396
25.907492,5.0911803
25.890394,5.073952
25.904715,5.0886545
25.891764,5.0762935
25.892006,5.075855
25.89113,5.074781
2.887632,10.768874
2.8883066,10.768883
2.888876,10.769426
2.888957,10.770139
2.8882153,10.769009
2.8851242,10.770208
2.8868763,10.768989
2.8895361,10.77125
2.8809557,10.7632
2.888605,10.769956
22.806025,9.043343
22.808203,9.043034
22.808079,9.043755
22.808802,9.04176
22.808527,9.043415
22.80758,9.043283
22.807726,9.0434065
22.807816,9.043879
22.807833,9.043692
22.807972,9.043745
3.8232868,24.741028
3.8227394,24.74021
3.8230834,24.74076
3.8218315,24.739508
3.8220952,24.739944
3.8230429,24.740658
3.8228238,24.740494
3.8231223,24.74087
3.8228173,24.740564
3.8227692,24.740976
-10.658053,-1.779515
-10.659091,-1.7813585
-10.658599,-1.7802545
-10.658537,-1.7799897
-10.658647,-1.7800962
-10.658227,-1.7807809
-10.6585045,-1.7795695
-10.658011,-1.7808139
-10.658324,-1.7799056
-10.658559,-1.780344
13.612784,-0.31115618
13.614462,-0.3144816
13.614044,-0.31385234
13.612331,-0.3107478
13.612384,-0.31291273
13.620413,-0.3189487
13.613236,-0.31178042
13.613222,-0.3133345
13.60469,-0.3052171
13.612929,-0.31294075
4.717098,11.550739
4.716992,11.557654
4.7165875,11.558928
4.71209,11.561552
4.715505,11.557744
4.7121353,11.559994
4.712188,11.560868
4.6893077,11.584503
4.711971,11.560162
4.7015815,11.553058
14.605949,18.02855
14.605656,18.02799
14.605312,18.028534
14.605743,18.02829
14.603196,18.025394
14.603915,18.026024
14.608945,18.031307
14.606,18.028357
14.605625,18.028189
14.6034355,18.025614
-7.7658887,14.648096
-7.7516656,14.641642
-7.7681527,14.648898
-7.775231,14.649908
-7.7682986,14.648808
-7.777098,14.653452
-7.768109,14.64843
-7.7681217,14.649081
-7.7664657,14.648014
-7.767904,14.648925
-4.428804,-7.3167005
-4.444776,-7.32445
-4.445337,-7.325082
-4.446267,-7.324686
-4.4444637,-7.3238025
-4.4440875,-7.324563
-4.4428644,-7.3241725
-4.4429026,-7.3242135
-4.431364,-7.3211513
-4.442817,-7.324055
3.4661236,-9.149117
3.4591901,-9.153254
3.469355,-9.146637
3.4653695,-9.148639
3.4653914,-9.147997
3.4649656,-9.1487055
3.4629774,-9.1502075
3.46433,-9.1478815
3.4663405,-9.147623
3.4490075,-9.163559
7.584662,-0.8442652
7.5762277,-0.84602
7.580313,-0.8460332
7.5803146,-0.84581053
7.580223,-0.84556973
7.5809298,-0.845421
7.5799394,-0.845795
7.584511,-0.84455407
7.5776563,-0.8460701
7.5777187,-0.8468287
4.34669,6.44741
4.3403435,6.453686
4.340492,6.452373
4.3409557,6.45186
4.340548,6.4522023
4.34195,6.453766
4.34611,6.4563727
4.3413444,6.453895
4.340212,6.451923
4.3414593,6.452354
18.97924,11.833113
18.978928,11.832872
18.978893,11.833063
18.979744,11.831979
18.979622,11.8327675
18.97919,11.833119
18.978426,11.834277
18.979528,11.832355
18.979,11.832628
18.97922,11.834778
-11.939039,-3.0845683
-11.939158,-3.0845475
-11.93925,-3.084624
-11.938898,-3.0843468
-11.94085,-3.0843182
-11.939248,-3.084476
-11.939327,-3.0845575
-11.939303,-3.0845351
-11.939266,-3.0845845
-11.939246,-3.0843582
-7.6623454,6.4632607
-7.6630383,6.465535
-7.6609244,6.463601
-7.64671,6.447924
-7.6611576,6.4635363
-7.661956,6.4633937
-7.6623154,6.464586
-7.6614757,6.4635043
-7.6639853,6.466518
-7.6654534,6.467362
-3.196713,16.327347
-3.1965718,16.327366
-3.197563,16.327095
-3.1964138,16.327873
-3.1965525,16.32728
-3.1956007,16.32667
-3.196521,16.326778
-3.1981673,16.326445
-3.1962926,16.326689
-3.1965399,16.32667
13.398959,16.694475
13.398857,16.694496
13.398451,16.694313
13.397587,16.69437
13.397833,16.693594
13.397574,16.694485
13.39768,16.694231
13.397819,16.693851
13.398029,16.694204
13.405063,16.693523
0.77071536,-0.65547603
0.7541323,-0.63931584
0.75098556,-0.6406769
0.75082827,-0.6402877
0.75130653,-0.640188
0.7474976,-0.6407216
0.75292385,-0.63817155
0.7478017,-0.6420632
0.7457587,-0.63655263
0.7536096,-0.6388795
12.159514,3.1610777
12.160083,3.1603122
12.161004,3.1604288
12.160688,3.1601079
12.159655,3.1593924
12.161265,3.1599724
12.160578,3.1603923
12.16007,3.1662657
12.160899,3.1605473
12.161022,3.1602805
1.6752052,-11.181014
1.6757051,-11.181274
1.6753496,-11.181126
1.6745317,-11.180471
1.6754446,-11.181321
1.6752231,-11.18105
1.6755463,-11.180998
1.6753328,-11.180985
1.675404,-11.181045
1.6752074,-11.181587
-8.258694,17.436987
-8.257122,17.437702
-8.257118,17.438076
-8.257191,17.437822
-8.256824,17.43784
-8.256863,17.437826
-8.257052,17.43768
-8.257278,17.437742
-8.256633,17.437706
-8.256888,17.437824
-7.942089,9.305879
-7.946178,9.312208
-7.9468594,9.31174
-7.9471855,9.311675
