x,y
0.8479556,22.838688
0.84821284,22.838196
0.8483351,22.838379
0.8443525,22.845924
0.8520102,22.829245
4.9493656,0.2748428
4.950055,0.27449766
4.9491515,0.275623
4.947958,0.2739795
4.9493527,0.2743803
4.949698,0.27597898
4.9480295,0.27681082
4.950059,0.27518037
4.948269,0.2737544
4.9490547,0.274287
21.571362,-7.1997805
21.571407,-7.1999187
21.571957,-7.199664
21.571367,-7.199911
21.571304,-7.1998053
21.57202,-7.1997175
21.571379,-7.199811
21.571444,-7.1998353
21.571394,-7.199776
21.571424,-7.199806
-19.406582,2.0204802
-19.407059,2.0192776
-19.406923,2.019403
-19.406858,2.0194094
-19.406893,2.0193603
-19.406866,2.0193584
-19.407293,2.0144386
-19.406935,2.0191915
-19.406889,2.019154
-19.407066,2.01913
1.773513,-2.074618
1.7735465,-2.0747037
1.7733079,-2.0745294
1.7735037,-2.074343
1.7731808,-2.0748537
1.7737612,-2.074587
1.7734401,-2.0743837
1.7734288,-2.0743155
1.7735447,-2.074519
1.7735192,-2.0744655
-8.29593,7.6361346
-8.297107,7.632853
-8.306432,7.616625
-8.296817,7.634622
-8.297008,7.634053
-8.296417,7.6353726
-8.298106,7.634892
-8.296737,7.6348014
-8.2969675,7.6334763
-8.296909,7.6331687
6.426975,9.123038
6.4316154,9.129199
6.427458,9.120174
6.4293995,9.128249
6.426434,9.12327
6.427143,9.123731
6.424265,9.117476
6.4264216,9.120214
6.4275765,9.125032
6.430991,9.131534
16.787802,15.2507925
16.786674,15.248192
16.78693,15.24926
16.788214,15.249995
16.786814,15.249242
16.777689,15.241294
16.786732,15.24918
16.787832,15.250251
16.786377,15.248586
16.78834,15.24987
14.553942,11.066676
14.554067,11.066935
14.553748,11.066875
14.551319,11.066712
14.55367,11.067061
14.554008,11.066633
14.553807,11.06663
14.553809,11.066803
14.553624,11.066971
14.554046,11.065252
12.880954,-8.924713
12.880133,-8.924089
12.880792,-8.924198
12.880905,-8.924821
12.880867,-8.924657
12.881315,-8.92475
12.881012,-8.92448
12.880888,-8.924384
12.88115,-8.924277
12.880978,-8.924381
9.370754,12.272158
9.371577,12.271435
9.3594,12.283325
9.386209,12.257216
9.372498,12.270291
9.372797,12.269449
9.361377,12.28165
9.372383,12.270368
9.372154,12.270206
9.370321,12.27277
16.022211,-10.248404
16.023376,-10.25062
16.021795,-10.249161
16.021902,-10.249077
16.020733,-10.249363
16.022213,-10.247536
16.022106,-10.249207
16.022043,-10.249366
16.022871,-10.251135
16.021828,-10.249035
10.033786,-6.4520717
10.032881,-6.4525194
10.035511,-6.453119
10.034357,-6.452753
10.036726,-6.4525566
10.033623,-6.453436
10.040971,-6.4514494
10.033279,-6.452824
10.034066,-6.452779
10.033461,-6.452586
16.195759,1.9920328
16.195034,1.9924214
16.196117,1.9917176
16.19358,1.9928325
16.196138,1.9929999
16.19684,1.991536
16.195522,1.9917799
16.193993,1.988299
16.19424,1.9906114
16.195906,1.9916071
11.163889,10.337283
11.16439,10.336473
11.16441,10.336913
11.164422,10.338451
11.164338,10.3369
11.164169,10.336795
11.16392,10.337297
11.163791,10.336565
11.1641445,10.337101
11.164419,10.337064
10.560892,25.274107
10.562217,25.27276
10.562099,25.272757
10.557515,25.277246
10.5576,25.277071
10.572678,25.261753
10.56228,25.27286
10.560596,25.276161
10.560615,25.275948
10.561204,25.273998
9.408896,24.957602
9.421513,24.955755
9.421899,24.955774
9.421913,24.9558
9.420362,24.955198
9.427767,24.955406
9.421306,24.955812
9.421672,24.955692
9.42062,24.955797
9.421729,24.955757
3.451783,10.819183
3.4499812,10.818931
3.45063,10.819458
3.4499671,10.81945
3.4600077,10.822616
3.4511244,10.818786
3.4502943,10.818721
3.4514873,10.819968
3.4518297,10.819318
3.45306,10.823187
8.226153,2.4541087
8.225365,2.455467
8.226367,2.4548852
8.225807,2.4556139
8.225871,2.4564486
8.226349,2.4553587
8.226013,2.4554744
8.225646,2.4557488
8.225869,2.4553816
8.226001,2.4554067
-9.586628,6.4159107
-9.586618,6.4156265
-9.586876,6.415708
-9.586501,6.4159393
-9.586775,6.415767
-9.588287,6.417546
-9.586439,6.4158397
-9.586854,6.416634
-9.587178,6.4161825
-9.588037,6.417006
-10.521444,4.6160707
-10.521116,4.6160555
-10.521043,4.6159678
-10.52157,4.6163354
-10.520564,4.616713
-10.520636,4.61708
-10.520222,4.616754
-10.521279,4.6160526
-10.5206785,4.616841
-10.521374,4.616274
25.540186,5.9768515
25.539644,5.976176
25.540157,5.9773583
25.540157,5.976727
25.540209,5.9766903
25.540174,5.9767528
25.540161,5.9764524
25.540209,5.976679
25.540184,5.976661
25.540173,5.976659
-6.2947636,19.569939
-6.2949343,19.570105
-6.2951694,19.571665
-6.294878,19.571068
-6.2946916,19.570498
-6.2940335,19.570953
-6.2947755,19.57096
-6.294802,19.57103
-6.294559,19.570467
-6.294796,19.571009
13.550136,1.2778002
13.552453,1.2804244
13.534985,1.2757528
13.549825,1.2777758
13.54794,1.2762797
13.549046,1.2762332
13.548935,1.2752928
13.549617,1.2783154
13.549159,1.2777373
13.549371,1.2825843
8.392863,-12.6255
8.399449,-12.626873
8.394707,-12.625662
8.395309,-12.626516
8.392446,-12.62549
8.392183,-12.6255865
8.393397,-12.625584
8.394231,-12.625819
8.39359,-12.625563
8.393721,-12.625747
-3.9269032,22.000418
-3.9266372,22.000591
-3.9267352,22.000435
-3.9267626,22.000353
-3.926865,22.000408
-3.9274442,22.001238
-3.9269404,22.00016
-3.9266293,22.000479
-3.926675,22.000454
-3.926849,22.000517
12.249365,-10.53186
12.249778,-10.5308695
12.249609,-10.530537
12.249674,-10.5307255
12.249664,-10.530836
12.249724,-10.530674
12.249977,-10.529923
12.24947,-10.530894
12.249453,-10.530771
12.24956,-10.530732
22.730915,18.789558
22.730526,18.789192
22.7312,18.79003
22.732813,18.791548
22.730885,18.789337
22.750675,18.809147
22.733027,18.791718
22.732496,18.791243
22.733217,18.791933
22.733177,18.7918
-0.4576354,-1.2681757
-0.45776466,-1.2677909
-0.4563746,-1.2687093
-0.4578931,-1.2680117
-0.4562651,-1.2681562
-0.45747256,-1.267662
-0.45750305,-1.2678429
-0.45761117,-1.2678705
-0.45756072,-1.267904
-0.4570323,-1.2678071
16.516212,-6.5790954
16.517635,-6.5777826
16.517172,-6.577655
16.51779,-6.5781984
16.516584,-6.578992
16.516563,-6.5794415
16.516754,-6.5789967
16.516724,-6.579068
16.517199,-6.5788136
16.516525,-6.578962
-2.0634327,3.8681233
-2.062771,3.8664222
-2.06371,3.8681643
-2.0641093,3.868883
-2.0607579,3.8558261
-2.0620534,3.865843
-2.0629983,3.8675983
-2.0629835,3.8680263
-2.0631351,3.8680255
-2.0632524,3.867888
11.718066,3.8475723
11.718431,3.8488417
11.718533,3.847537
11.7182455,3.8470106
11.718056,3.8474607
11.718017,3.8470976
11.717825,3.8469644
11.718444,3.847653
11.717789,3.8473077
11.718202,3.8476617
15.7264805,0.8466165
15.722029,0.83691055
15.72163,0.83755004
15.7218685,0.83699256
15.72198,0.83694196
15.721664,0.83637476
15.7219925,0.8368509
15.721947,0.8372735
15.721778,0.8367401
15.721802,0.83688277
12.31773,-0.12695375
12.320065,-0.1257991
12.314666,-0.12021787
