x,y,id
29.69176,3.873862,104
29.691767,3.8738592,105
29.691767,3.8738658,106
29.69177,3.873872,107
29.69177,3.8738594,108
29.691761,3.8738613,109
55.47374,-17.918512,110
55.473732,-17.918512,111
55.473713,-17.91858,112
55.47374,-17.918516,113
55.473743,-17.918509,114
55.47374,-17.91851,115
55.473743,-17.91851,116
55.473736,-17.91851,117
55.473736,-17.91851,118
55.473713,-17.918577,119
76.315475,10.948793,120
76.31622,10.948816,121
76.3156,10.948672,122
76.316154,10.948761,123
76.316,10.9487705,124
76.315865,10.948807,125
76.31531,10.94863,126
76.31512,10.948749,127
76.316185,10.948766,128
76.31595,10.948814,129
64.5816,25.846579,130
64.581604,25.846554,131
64.58213,25.846792,132
64.581436,25.846485,133
64.58195,25.846731,134
64.58107,25.846273,135
64.58194,25.846735,136
64.58176,25.8466,137
64.582146,25.846775,138
64.58213,25.846792,139
26.816454,-6.9415016,140
26.816456,-6.9414983,141
26.816456,-6.9415007,142
26.816462,-6.941495,143
26.816456,-6.9415016,144
26.816456,-6.9415,145
26.816456,-6.9415,146
26.816465,-6.9414945,147
26.81646,-6.9414964,148
26.816462,-6.941496,149
25.822779,-13.286488,150
25.822779,-13.286499,151
25.822786,-13.28653,152
25.82278,-13.286476,153
25.82278,-13.286517,154
25.82278,-13.286485,155
25.82278,-13.286509,156
25.822779,-13.286499,157
25.822779,-13.286475,158
25.822779,-13.286475,159
10.269423,29.912542,160
10.269629,29.912476,161
10.269032,29.912676,162
10.269032,29.912676,163
10.269235,29.91261,164
10.269033,29.912668,165
10.269424,29.91254,166
10.270235,29.912283,167
10.269626,29.912477,168
10.269626,29.912481,169
6.8272185,38.09237,170
6.8271446,38.09228,171
6.827132,38.092266,172
6.83358,38.093582,173
6.8273168,38.092476,174
6.8271985,38.092358,175
6.8271422,38.092285,176
6.8271284,38.09227,177
6.8272285,38.09239,178
6.8271413,38.092274,179
9.755043,31.151081,180
9.755028,31.151125,181
9.755048,31.151081,182
9.755048,31.151075,183
9.755048,31.151081,184
9.755045,31.15109,185
9.7550535,31.151081,186
9.755047,31.151081,187
9.755052,31.151083,188
9.755035,31.151114,189
26.31628,-9.251464,190
26.316269,-9.251481,191
26.31628,-9.251465,192
26.31628,-9.251455,193
26.31628,-9.251458,194
26.316278,-9.251457,195
26.316269,-9.251489,196
26.316278,-9.251467,197
26.31628,-9.25146,198
26.316273,-9.251483,199
30.358068,-19.16452,200
30.358046,-19.164516,201
30.358047,-19.164515,202
30.358072,-19.164518,203
30.35804,-19.16452,204
30.358046,-19.164516,205
30.35805,-19.164515,206
30.358046,-19.164516,207
30.358044,-19.164516,208
30.358046,-19.164516,209
8.331928,53.69088,210
8.332263,53.690865,211
8.33196,53.690845,212
8.332228,53.690876,213
8.3322735,53.69087,214
8.33195,53.690872,215
8.332241,53.690865,216
8.331946,53.690876,217
8.331955,53.69087,218
8.331905,53.690872,219
26.60814,28.244442,220
26.608139,28.24444,221
26.608139,28.24444,222
26.608143,28.244444,223
26.608139,28.24444,224
26.608139,28.24444,225
26.608139,28.24444,226
26.608139,28.24444,227
26.608139,28.24444,228
26.608139,28.24444,229
9.63506,61.559635,230
9.6350565,61.559628,231
9.635065,61.559635,232
9.635056,61.559624,233
9.635062,61.559635,234
9.6350565,61.559628,235
9.635058,61.559628,236
9.635056,61.559624,237
9.635058,61.55963,238
9.635058,61.559624,239
80.406,6.8353424,240
80.405975,6.8353014,241
80.40598,6.8353033,242
80.40598,6.835314,243
80.405975,6.835307,244
80.405975,6.835314,245
80.40598,6.8353033,246
80.40598,6.835314,247
80.40598,6.8353033,248
80.40598,6.8353033,249
29.983128,36.661427,250
29.983128,36.661427,251
29.983128,36.661427,252
29.983128,36.661427,253
29.983128,36.661427,254
29.983128,36.661427,255
29.983128,36.661427,256
29.983128,36.661427,257
29.983126,36.661427,258
29.983128,36.661427,259
36.61811,-23.734243,260
36.618122,-23.734287,261
36.61812,-23.734285,262
36.618107,-23.734184,263
36.618126,-23.73429,264
36.61812,-23.734285,265
36.618122,-23.73429,266
36.618103,-23.734205,267
36.618126,-23.73429,268
36.618126,-23.734123,269
30.603073,33.030384,270
30.603199,33.030342,271
30.603258,33.030296,272
30.60325,33.030376,273
30.60317,33.030376,274
30.602978,33.03043,275
30.603046,33.030396,276
30.603226,33.03033,277
30.60305,33.03042,278
30.603231,33.030308,279
37.451626,47.548023,280
37.451603,47.548035,281
37.451584,47.548054,282
37.451603,47.548035,283
37.45154,47.54808,284
37.451584,47.54805,285
37.451565,47.548065,286
37.45154,47.54808,287
37.45163,47.548023,288
37.451565,47.54807,289
39.94095,46.941296,290
39.94095,46.94129,291
39.94095,46.94129,292
39.94095,46.94129,293
39.94095,46.94129,294
39.94095,46.94129,295
39.94095,46.941296,296
39.94095,46.94129,297
39.94095,46.94129,298
39.94095,46.941296,299
47.565166,56.290474,300
47.565166,56.290474,301
47.565166,56.290478,302
47.565163,56.290478,303
47.565163,56.290478,304
47.565166,56.290474,305
47.565166,56.290474,306
47.565163,56.290478,307
47.565166,56.290478,308
47.565163,56.290478,309
51.06117,44.608456,310
51.06117,44.60845,311
51.06117,44.60845,312
51.06117,44.60845,313
51.06117,44.60845,314
51.06117,44.60845,315
51.06117,44.60845,316
51.06117,44.60845,317
