x,y,id
-16.60908,5.383679,187
-16.60858,5.384006,188
-16.608898,5.383718,189
23.0411,-5.029261,190
23.040253,-5.029306,191
23.040543,-5.0278563,192
23.040506,-5.0285544,193
23.04103,-5.0290575,194
23.0406,-5.0300937,195
23.04023,-5.029054,196
23.040848,-5.0291314,197
23.041513,-5.029075,198
23.040995,-5.029124,199
-1.1973943,-2.1046438,200
-1.1975096,-2.1037707,201
-1.1981572,-2.1046638,202
-1.1980952,-2.104707,203
-1.1981637,-2.1047077,204
-1.1985899,-2.1047199,205
-1.1980609,-2.104788,206
-1.1987638,-2.105339,207
-1.1992813,-2.106144,208
-1.1982509,-2.1046712,209
2.7459018,-4.810754,210
2.7449744,-4.813694,211
2.74487,-4.808912,212
2.7455919,-4.809448,213
2.743894,-4.810486,214
2.7438703,-4.8124146,215
2.7456439,-4.809429,216
2.7268507,-4.8343244,217
2.7437537,-4.8117075,218
2.7472827,-4.7973185,219
10.0831785,28.358984,220
10.089824,28.365324,221
10.084056,28.359879,222
10.084035,28.35984,223
10.084236,28.360256,224
10.083893,28.360113,225
10.084099,28.359951,226
10.084112,28.359964,227
10.083923,28.359726,228
10.084146,28.35998,229
9.826609,-3.0959773,230
9.819852,-3.0766861,231
9.819704,-3.0778809,232
9.819197,-3.0772312,233
9.819897,-3.0778234,234
9.818961,-3.0771558,235
9.819161,-3.0769722,236
9.81938,-3.0769677,237
9.81854,-3.0783236,238
9.819835,-3.0783532,239
19.529474,4.6895423,240
19.520168,4.6858,241
19.525715,4.688004,242
19.527178,4.689427,243
19.498304,4.6633673,244
19.531822,4.6911716,245
19.525507,4.6875486,246
19.527891,4.689748,247
19.508604,4.6714683,248
19.525625,4.6882157,249
2.4874089,27.743986,250
2.4873714,27.743887,251
2.4872518,27.74362,252
2.4878569,27.744383,253
2.4874246,27.743965,254
2.4873824,27.743988,255
2.48743,27.743958,256
2.487345,27.743605,257
2.4874444,27.744017,258
2.48748,27.744186,259
18.512535,-2.3469272,260
18.515188,-2.3542762,261
18.51167,-2.350198,262
18.516676,-2.3540075,263
18.514372,-2.3518162,264
18.515867,-2.353412,265
18.515678,-2.3533504,266
18.515327,-2.3521626,267
18.515657,-2.3532295,268
18.517536,-2.3551786,269
-15.119921,13.605766,270
-15.119916,13.605738,271
-15.119856,13.605782,272
-15.120763,13.605875,273
-15.119814,13.605718,274
-15.119859,13.605798,275
-15.119868,13.605974,276
-15.11997,13.605759,277
-15.120763,13.605814,278
-15.120019,13.6058445,279
-13.478797,10.267073,280
-13.479586,10.267231,281
-13.47954,10.267232,282
-13.479119,10.267575,283
-13.478684,10.266649,284
-13.478699,10.2666025,285
-13.463464,10.25548,286
-13.478529,10.266682,287
-13.478339,10.266832,288
-13.4792385,10.267219,289
6.077251,4.054365,290
6.077474,4.0555854,291
6.0778155,4.0582137,292
6.0779834,4.058183,293
6.0764093,4.048885,294
6.0754557,4.0497007,295
6.077182,4.056021,296
6.076862,4.0553536,297
6.076981,4.0546856,298
6.07752,4.05734,299
0.6887071,4.6327085,300
0.68980575,4.632273,301
0.69066095,4.6310067,302
0.6899897,4.6332054,303
0.6896181,4.631586,304
0.686407,4.652959,305
0.6890363,4.6334352,306
0.6888965,4.6286373,307
0.6885028,4.630983,308
0.6899488,4.6321163,309
10.084224,10.052163,310
10.087035,10.054734,311
10.08448,10.052121,312
10.083962,10.0519705,313
10.083071,10.050442,314
10.08472,10.052133,315
10.081418,10.047941,316
10.086484,10.053083,317
10.081234,10.0495405,318
10.082751,10.047174,319
-0.5046101,13.163286,320
-0.505134,13.164596,321
-0.5043978,13.163818,322
-0.5053246,13.164072,323
-0.5047289,13.163121,324
-0.5044598,13.163202,325
-0.5038866,13.163009,326
-0.50666296,13.162309,327
-0.5050977,13.163525,328
-0.5047157,13.163603,329
2.3393803,-10.602729,330
2.33919,-10.602482,331
2.321179,-10.585365,332
2.3386889,-10.602248,333
2.3390284,-10.602984,334
2.3384237,-10.602771,335
2.339013,-10.601661,336
2.339092,-10.602624,337
2.3394356,-10.602823,338
2.3387659,-10.602189,339
-11.180025,5.4111257,340
-11.179909,5.4113493,341
-11.179631,5.411389,342
-11.174614,5.413981,343
-11.178684,5.4115353,344
-11.195683,5.398893,345
-11.179672,5.4113984,346
-11.179428,5.4118023,347
-11.179554,5.411306,348
-11.17959,5.411578,349
-6.035084,18.06539,350
-6.034392,18.06484,351
-6.0340896,18.064497,352
-6.0337687,18.064613,353
-6.033633,18.064127,354
-6.0339985,18.064596,355
-6.0337906,18.064913,356
-6.0341506,18.064482,357
-6.034245,18.064646,358
-6.0340652,18.064598,359
16.308273,7.6122947,360
16.307018,7.6151924,361
16.311708,7.612047,362
16.31322,7.6111374,363
16.31474,7.610541,364
16.310505,7.6134896,365
16.318321,7.6041183,366
16.313427,7.611607,367
16.311743,7.6117625,368
16.32527,7.5978107,369
11.646035,2.4964223,370
11.645306,2.4959912,371
11.647785,2.5011637,372
11.647475,2.4975822,373
11.645899,2.4969394,374
11.645942,2.4972851,375
11.646084,2.4973888,376
11.646193,2.4974058,377
11.646055,2.49722,378
